Año,Mes_Nombre,Programa_Base,Asignatura,Desaprobado,Total_Alumnos,Tasa_Desaprobados
2015,Junio,CARRERA DE ECONOMIA,TALLER DE EXPRESIÓN ESCRITA,1,19,0.0526
2015,Junio,CARRERA DE ECONOMIA,TALLER DE INDUCCIÓN A LA PROFESIÓN,11,35,0.3143
2015,Junio,CARRERA DE EDUCACION,ELECTIVO I,4,22,0.1818
2015,Junio,CARRERA DE EDUCACION,LENGUA II,0,7,0.0
2015,Junio,CARRERA PROFESIONAL DE EDUCACION CON MENCION EN CIENCIAS SOCIALES Y COMUNICACIÓN,ACTIVIDADES I,0,1,0.0
2015,Junio,CARRERA PROFESIONAL DE EDUCACION CON MENCION EN CIENCIAS SOCIALES Y COMUNICACIÓN,REALIDAD NACIONAL,0,1,0.0
2015,Junio,CARRERA PROFESIONAL DE EDUCACION CON MENCION EN INICIAL,INGLÉS I,0,1,0.0
2015,Junio,CARRERA PROFESIONAL DE EDUCACION CON MENCION EN INICIAL,REALIDAD NACIONAL,3,14,0.2143
2015,Junio,CARRERA PROFESIONAL DE EDUCACION CON MENCION EN INICIAL,TALLER DE EXPRESIÓN ESCRITA,0,1,0.0
2015,Junio,CARRERA PROFESIONAL DE EDUCACION CON MENCION EN MATEMÁTICA E INFORMÁTICA,REALIDAD NACIONAL,2,12,0.1667
2015,Marzo,CARRERA DE CONTABILIDAD Y FINANZAS,ACTIVIDADES I,21,62,0.3387
2015,Marzo,CARRERA DE CONTABILIDAD Y FINANZAS,ACTIVIDADES II,2,11,0.1818
2015,Marzo,CARRERA DE CONTABILIDAD Y FINANZAS,"DISCAPACIDAD DE LAS PERSONAS, RESPONSABILIDAD SOCIAL EMPRESARIAL Y ÉTICA APLICADA (A DISTANCIA)",0,1,0.0
2015,Marzo,CARRERA DE CONTABILIDAD Y FINANZAS,INGLÉS I,12,42,0.2857
2015,Marzo,CARRERA DE CONTABILIDAD Y FINANZAS,METODOLOGÍA DE LA INVESTIGACIÓN ,0,13,0.0
2015,Marzo,CARRERA DE CONTABILIDAD Y FINANZAS,REALIDAD NACIONAL,16,27,0.5926
2015,Marzo,CARRERA DE CONTABILIDAD Y FINANZAS,TALLER DE EXPRESIÓN ORAL,9,44,0.2045
2015,Marzo,CARRERA DE ECONOMIA,ACTIVIDADES I,9,24,0.375
2015,Marzo,CARRERA DE ECONOMIA,ACTIVIDADES II,1,16,0.0625
2015,Marzo,CARRERA DE ECONOMIA,INGLÉS I,3,18,0.1667
2015,Marzo,CARRERA DE ECONOMIA,METODOLOGÍA DE LA INVESTIGACIÓN ,0,11,0.0
2015,Marzo,CARRERA DE ECONOMIA,REALIDAD NACIONAL,5,15,0.3333
2015,Marzo,CARRERA DE ECONOMIA,TALLER DE EXPRESIÓN ORAL,5,20,0.25
2015,Marzo,CARRERA DE EDUCACION,HERRAMIENTAS TIC,1,13,0.0769
2015,Marzo,CARRERA DE EDUCACION,LENGUA I,4,19,0.2105
2015,Marzo,CARRERA PROFESIONAL DE EDUCACION CON MENCION EN INICIAL,IDIOMA EXTRANJERO I,1,7,0.1429
2015,Marzo,CARRERA PROFESIONAL DE EDUCACION CON MENCION EN MATEMÁTICA E INFORMÁTICA,IDIOMA EXTRANJERO I,0,3,0.0
2015,Mayo,CARRERA DE CONTABILIDAD Y FINANZAS,ACTIVIDADES I,35,94,0.3723
2015,Mayo,CARRERA DE CONTABILIDAD Y FINANZAS,CONTABILIDAD FINANCIERA I,8,45,0.1778
2015,Mayo,CARRERA DE CONTABILIDAD Y FINANZAS,MÉTODOS DE ESTUDIO,36,99,0.3636
2015,Mayo,CARRERA DE ECONOMIA,ACTIVIDADES I,14,39,0.359
2015,Mayo,CARRERA DE ECONOMIA,INTRODUCCIÓN A LA ECONOMÍA,0,19,0.0
2015,Mayo,CARRERA DE ECONOMIA,MÉTODOS DE ESTUDIO,14,38,0.3684
