Periodo_Real,Año,Mes,Codigo_Plan_SAP,Programa,Facultad,Gestion,Modalidad_Agrupada,Concluyeron el Plan,Admitidos Matriculados,Nuevos Traslados,Nuevos Convalidados,Permanentes Continuos,Perm. Siempre (0m),Perm. 1mes,Permanentes Incontinuos,Reincorporados (6-12m),Reincorporados (>12m),Riesgo Deserción (1m),Riesgo Deserción (2m),Deserción Temprana (3-6m),Deserción Tardía (7-12m),Deserción Muy Tardía (>12m),Retenidos (1m),Matríc. regular a Distancia,Estudiantes matrí. TOTAL
2015-11,2015,Noviembre,O07010902,MAESTRIA EN EDUCACIÓN CON MENCIÓN EN INFORMÁTICA Y TECNOLOGÍA EDUCATIVA,Otros,Sin Partner (Propio),Presencial Regular,0,5,0,0,45,35,10,0,0,0,1,4,12,5,2,45,50,50
2015-12,2015,Diciembre,O07010902,MAESTRIA EN EDUCACIÓN CON MENCIÓN EN INFORMÁTICA Y TECNOLOGÍA EDUCATIVA,Otros,Sin Partner (Propio),Presencial Regular,0,10,0,0,39,38,1,0,0,0,12,0,11,10,2,39,49,49
2016-01,2016,Enero,O07010902,MAESTRIA EN EDUCACIÓN CON MENCIÓN EN INFORMÁTICA Y TECNOLOGÍA EDUCATIVA,Otros,Sin Partner (Propio),Presencial Regular,2,8,0,0,47,42,5,2,0,0,5,7,7,11,3,47,56,59
2016-02,2016,Febrero,O07010902,MAESTRIA EN EDUCACIÓN CON MENCIÓN EN INFORMÁTICA Y TECNOLOGÍA EDUCATIVA,Otros,Sin Partner (Propio),Presencial Regular,1,15,3,0,37,37,0,2,1,0,19,5,10,12,3,37,56,56
2016-03,2016,Marzo,O07010902,MAESTRIA EN EDUCACIÓN CON MENCIÓN EN INFORMÁTICA Y TECNOLOGÍA EDUCATIVA,Otros,Sin Partner (Propio),Presencial Regular,0,21,0,0,49,42,7,1,0,0,13,12,12,14,3,49,71,71
2016-04,2016,Abril,O07010902,MAESTRIA EN EDUCACIÓN CON MENCIÓN EN INFORMÁTICA Y TECNOLOGÍA EDUCATIVA,Otros,Sin Partner (Propio),Presencial Regular,1,8,0,0,64,59,5,3,0,0,12,8,17,15,5,64,69,76
2016-05,2016,Mayo,O07010902,MAESTRIA EN EDUCACIÓN CON MENCIÓN EN INFORMÁTICA Y TECNOLOGÍA EDUCATIVA,Otros,Sin Partner (Propio),Presencial Regular,3,10,0,0,62,58,4,1,0,0,17,8,21,13,7,62,76,76
2016-06,2016,Junio,O07010902,MAESTRIA EN EDUCACIÓN CON MENCIÓN EN INFORMÁTICA Y TECNOLOGÍA EDUCATIVA,Otros,Sin Partner (Propio),Presencial Regular,3,12,0,0,43,36,7,1,1,0,34,10,24,11,12,43,60,60
2016-07,2016,Julio,O07010902,MAESTRIA EN EDUCACIÓN CON MENCIÓN EN INFORMÁTICA Y TECNOLOGÍA EDUCATIVA,Otros,Sin Partner (Propio),Presencial Regular,5,6,0,0,66,46,20,3,0,0,9,13,26,13,13,66,78,80
2016-08,2016,Agosto,O07010902,MAESTRIA EN EDUCACIÓN CON MENCIÓN EN INFORMÁTICA Y TECNOLOGÍA EDUCATIVA,Otros,Sin Partner (Propio),Presencial Regular,4,12,0,0,68,63,5,6,0,1,8,4,25,19,14,68,87,91
